block 1000, total 34000, active 14173, size 12, leak 170076.
block 32, total 14176, active 14158, size 340, leak 4813720.
block 1000, total 34000, active 14173, size 12, leak 170076.
block 32, total 14176, active 14155, size 340, leak 4812700.
block 1000, total 34000, active 14173, size 12, leak 170076.
block 32, total 14176, active 14157, size 340, leak 4813380.
block 1000, total 34000, active 14184, size 12, leak 170208.
block 32, total 14176, active 14154, size 340, leak 4812360.
block 1000, total 34000, active 14184, size 12, leak 170208.
block 32, total 14176, active 14157, size 340, leak 4813380.
block 1000, total 34000, active 14176, size 12, leak 170112.
block 32, total 14176, active 14160, size 340, leak 4814400.
block 1000, total 34000, active 14176, size 12, leak 170112.
block 32, total 14176, active 14157, size 340, leak 4813380.
block 1000, total 34000, active 14174, size 12, leak 170088.
block 32, total 14176, active 14155, size 340, leak 4812700.
block 1000, total 34000, active 14174, size 12, leak 170088.
block 32, total 14176, active 14158, size 340, leak 4813720.
block 1000, total 34000, active 14174, size 12, leak 170088.
block 32, total 14176, active 14167, size 340, leak 4816780.
block 1000, total 34000, active 14188, size 12, leak 170256.
block 32, total 14176, active 14164, size 340, leak 4815760.
block 1000, total 34000, active 14188, size 12, leak 170256.
block 32, total 14176, active 14158, size 340, leak 4813720.
block 1000, total 34000, active 14188, size 12, leak 170256.
block 32, total 14176, active 14155, size 340, leak 4812700.
block 1000, total 34000, active 14188, size 12, leak 170256.
block 32, total 14176, active 14158, size 340, leak 4813720.
block 1000, total 34000, active 14189, size 12, leak 170268.
block 32, total 14176, active 14154, size 340, leak 4812360.
block 1000, total 34000, active 14188, size 12, leak 170256.
block 32, total 14176, active 14176, size 340, leak 4819840.
block 1000, total 34000, active 14196, size 12, leak 170352.
block 32, total 14176, active 14156, size 340, leak 4813040.
block 1000, total 34000, active 14194, size 12, leak 170328.
block 32, total 14176, active 14155, size 340, leak 4812700.
block 1000, total 34000, active 14194, size 12, leak 170328.
block 32, total 14176, active 14156, size 340, leak 4813040.
block 1000, total 34000, active 14194, size 12, leak 170328.
block 32, total 14176, active 14156, size 340, leak 4813040.
block 1000, total 34000, active 14194, size 12, leak 170328.
block 32, total 14176, active 14154, size 340, leak 4812360.
block 1000, total 34000, active 14194, size 12, leak 170328.
block 32, total 14176, active 14154, size 340, leak 4812360.
block 1000, total 34000, active 14194, size 12, leak 170328.
block 32, total 14176, active 14154, size 340, leak 4812360.
block 1000, total 34000, active 14194, size 12, leak 170328.
block 32, total 14176, active 14154, size 340, leak 4812360.
block 1000, total 34000, active 14194, size 12, leak 170328.
block 32, total 14176, active 14153, size 340, leak 4812020.
block 1000, total 34000, active 14194, size 12, leak 170328.
block 32, total 14176, active 14154, size 340, leak 4812360.
block 1000, total 34000, active 14194, size 12, leak 170328.
block 32, total 14176, active 14171, size 340, leak 4818140.
block 1000, total 34000, active 14194, size 12, leak 170328.
block 32, total 14176, active 14155, size 340, leak 4812700.
block 1000, total 34000, active 14195, size 12, leak 170340.
block 32, total 14176, active 14156, size 340, leak 4813040.
block 1000, total 34000, active 14195, size 12, leak 170340.
